Vuln,test #,detect,patch,time,,,2 iters test****,detect,patch,time,avg,,<- This trial is included in the paper,,,,,,,Vote Times,,Max/Min
,,,,,,,,,,,,,,,,,,,,9078751,,
,,,,,,,,,,,,,,,,,,,,11642507,,
,,,,,,,,,,,,,,,,,,,,7428605,,
,,,,,,,,,,,,,,,,,,,,9804659,,
,,,,,,,,,,,,,,,,,,,,8223436,,
,,,,,,,,,,,,,,,,,,,,7614666,,
,,,,,,,,,,,,,,,,,,,,10654911,,
,,,,,,,,,,,,,,,,,,,,10064580,,
,,,,,,,,,,,,,,,,,,,,10484962,,
,,,,,,,,,,,,,,,,,,,,7127677,,
,,,,,,,,,,,,,,,,,,,,8938131,,
,,,,,,,,,,,,,,,,,,,,8205512,,
,,,,,,,,,,,,,,,,,,,,6426770,,
,,,,,,,,,,,,,,,,,,,,6315833,,
,,,,,,,,,,,,,,,,,,,,6121516,,
,,,,,,,,,,,,,,,,,,,,9401151,,
,,,,,,,,,,,,,,,,,,,,9162381,,
,,,,,,,,,,,,,,,,,,,,7403437,,
,,,,,,,,,,,,,,,,,,,,6485046,,
,,,,,,,,,,,,,,,,,,,,9046712,,
,,,,,,,,,,,,,,,,,,,,6511124,,
,,,,,,,,,,,,,,,,,,,,7336789,,
,,,,,,,,,,,,,,,,,,,,8080860,,
,,,,,,,,,,,,,,,,,,,,6855704,,
,,,,,,,,,,,,,,,,,,,,8704983,,
,,,,,,,,,,,,,,,,,,,,8519922,,
,,,,,,,,,,,,,,,,,,,,6757091,,
,,,,,,,,,,,,,,,,,,,,7944215,,
,,,,,,,,,,,,,,,,,,,,7303964,,
,,,,,,,,,,,,,,,,,,,,6573053,,
,,,,,,,,,,,,,,,,,,,,7243195,,
,,,,,,,,,,,,,,,,,,,,7109253,,
,,,,,,,,,,,,,,,,,,,,8650612,,
,,,,,,,,,,,,,,,,,,,,7756691,,
,,,,,,,,,,,,,,,,,,,,9085434,,
,,,,,,,,,,,,,,,,,,,,7308453,,
,,,,,,,,,,,,,,,,,,,,6443027,,
,,,,,,,,,,,,,,,,,,,,6924510,,
,,,,,,,,,,,,,,,,,,,,6789788,,
,,,,,,,,,,,,,,,,,,,,8147856,,
,,,,,,,,,,,,,,,,,,,,6759903,,
,,,,,,,,,,,,,,,,,,,,10320053,,
